Stratum,Area,Transect,Length,Lake,LakeCode
60-70,1063,Transect9,1446,HENDERSON,3
60-70,1063,Transect10,1568,HENDERSON,3
60-70,1063,Transect11,1102,HENDERSON,3
60-70,1063,Transect12,2573,HENDERSON,3
60-70,1063,Transect13,1634,HENDERSON,3
60-70,1063,Transect14,543,HENDERSON,3
60-70,1063,Transect15,1115,HENDERSON,3
60-70,1063,Transect16,1212,HENDERSON,3
60-70,1063,Transect17,1322,HENDERSON,3
60-70,1063,Transect18,2364,HENDERSON,3
05-Feb,350,Transect1,340,HOBITON,6
05-Feb,350,Transect2,320,HOBITON,6
05-Feb,350,Transect3,460,HOBITON,6
05-Feb,350,Transect4,710,HOBITON,6
05-Feb,350,Transect5,340,HOBITON,6
05-Feb,350,Transect6,710,HOBITON,6
05-Feb,350,Transect7,900,HOBITON,6
05-Feb,350,Transect8,1310,HOBITON,6
05-Feb,350,Transect9,895,HOBITON,6
05-Feb,350,Transect10,1060,HOBITON,6
05-Feb,350,Transect11,1120,HOBITON,6
05-Mar,340,Transect1,340,HOBITON,6
05-Mar,340,Transect2,320,HOBITON,6
05-Mar,340,Transect3,460,HOBITON,6
05-Mar,340,Transect4,710,HOBITON,6
05-Mar,340,Transect5,340,HOBITON,6
05-Mar,340,Transect6,710,HOBITON,6
05-Mar,340,Transect7,900,HOBITON,6
05-Mar,340,Transect8,1310,HOBITON,6
05-Mar,340,Transect9,895,HOBITON,6
05-Mar,340,Transect10,1060,HOBITON,6
05-Mar,340,Transect11,1120,HOBITON,6
10-May,334,Transect1,340,HOBITON,6
10-May,334,Transect2,300,HOBITON,6
10-May,334,Transect3,460,HOBITON,6
10-May,334,Transect4,700,HOBITON,6
10-May,334,Transect5,330,HOBITON,6
10-May,334,Transect6,710,HOBITON,6
10-May,334,Transect7,900,HOBITON,6
10-May,334,Transect8,1310,HOBITON,6
10-May,334,Transect9,895,HOBITON,6
10-May,334,Transect10,1055,HOBITON,6
10-May,334,Transect11,1100,HOBITON,6
15-Oct,320,Transect1,340,HOBITON,6
15-Oct,320,Transect2,280,HOBITON,6
15-Oct,320,Transect3,450,HOBITON,6
15-Oct,320,Transect4,690,HOBITON,6
15-Oct,320,Transect5,300,HOBITON,6
15-Oct,320,Transect6,710,HOBITON,6
15-Oct,320,Transect7,890,HOBITON,6
15-Oct,320,Transect8,1310,HOBITON,6
15-Oct,320,Transect9,890,HOBITON,6
15-Oct,320,Transect10,1040,HOBITON,6
15-Oct,320,Transect11,1070,HOBITON,6
15-20,285,Transect1,300,HOBITON,6
15-20,285,Transect2,260,HOBITON,6
15-20,285,Transect3,440,HOBITON,6
15-20,285,Transect4,660,HOBITON,6
15-20,285,Transect5,280,HOBITON,6
15-20,285,Transect6,700,HOBITON,6
15-20,285,Transect7,870,HOBITON,6
15-20,285,Transect8,1260,HOBITON,6
15-20,285,Transect9,880,HOBITON,6
15-20,285,Transect10,1030,HOBITON,6
15-20,285,Transect11,1060,HOBITON,6
20-30,252,Transect1,280,HOBITON,6
20-30,252,Transect2,230,HOBITON,6
20-30,252,Transect3,400,HOBITON,6
20-30,252,Transect4,630,HOBITON,6
20-30,252,Transect5,260,HOBITON,6
20-30,252,Transect6,655,HOBITON,6
20-30,252,Transect7,825,HOBITON,6
20-30,252,Transect8,1200,HOBITON,6
20-30,252,Transect9,825,HOBITON,6
20-30,252,Transect10,1000,HOBITON,6
20-30,252,Transect11,1020,HOBITON,6
30-40,215,Transect1,220,HOBITON,6
30-40,215,Transect2,200,HOBITON,6
30-40,215,Transect3,360,HOBITON,6
30-40,215,Transect4,590,HOBITON,6
30-40,215,Transect5,180,HOBITON,6
30-40,215,Transect6,445,HOBITON,6
30-40,215,Transect7,740,HOBITON,6
30-40,215,Transect8,1130,HOBITON,6
30-40,215,Transect9,760,HOBITON,6
30-40,215,Transect10,960,HOBITON,6
30-40,215,Transect11,980,HOBITON,6
40-50,172,Transect1,0,HOBITON,6
40-50,172,Transect2,120,HOBITON,6
40-50,172,Transect3,320,HOBITON,6
40-50,172,Transect4,550,HOBITON,6
40-50,172,Transect5,90,HOBITON,6
40-50,172,Transect6,0,HOBITON,6
40-50,172,Transect7,550,HOBITON,6
40-50,172,Transect8,1075,HOBITON,6
40-50,172,Transect9,670,HOBITON,6
40-50,172,Transect10,845,HOBITON,6
40-50,172,Transect11,855,HOBITON,6
50-60,25,Transect1,0,HOBITON,6
50-60,25,Transect2,0,HOBITON,6
50-60,25,Transect3,290,HOBITON,6
50-60,25,Transect4,510,HOBITON,6
50-60,25,Transect5,0,HOBITON,6
50-60,25,Transect6,0,HOBITON,6
50-60,25,Transect7,0,HOBITON,6
50-60,25,Transect8,1015,HOBITON,6
50-60,25,Transect9,590,HOBITON,6
50-60,25,Transect10,785,HOBITON,6
50-60,25,Transect11,780,HOBITON,6
05-Feb,32,Transect1,222,Halfway,221
05-Feb,32,Transect2,215,Halfway,221
05-Feb,32,Transect3,729,Halfway,221
05-Mar,0,Transect1,0,Halfway,221
05-Mar,0,Transect2,0,Halfway,221
05-Mar,0,Transect3,0,Halfway,221
10-May,22,Transect1,180,Halfway,221
10-May,22,Transect2,161,Halfway,221
10-May,22,Transect3,326,Halfway,221
15-Oct,14,Transect1,127,Halfway,221
15-Oct,14,Transect2,111,Halfway,221
15-Oct,14,Transect3,246,Halfway,221
15-20,3,Transect1,0,Halfway,221
15-20,3,Transect2,0,Halfway,221
15-20,3,Transect3,124,Halfway,221
05-Feb,452,Transect1,1070,Hesquiat,119
05-Feb,452,Transect2,825,Hesquiat,119
05-Feb,452,Transect3,780,Hesquiat,119
05-Feb,452,Transect4,1075,Hesquiat,119
05-Feb,452,Transect5,995,Hesquiat,119
05-Feb,452,Transect6,550,Hesquiat,119
05-Mar,452,Transect1,1070,Hesquiat,119
05-Mar,452,Transect2,825,Hesquiat,119
05-Mar,452,Transect3,780,Hesquiat,119
05-Mar,452,Transect4,1075,Hesquiat,119
05-Mar,452,Transect5,995,Hesquiat,119
05-Mar,452,Transect6,550,Hesquiat,119
10-May,436,Transect1,1005,Hesquiat,119
10-May,436,Transect2,810,Hesquiat,119
10-May,436,Transect3,760,Hesquiat,119
10-May,436,Transect4,1065,Hesquiat,119
10-May,436,Transect5,975,Hesquiat,119
10-May,436,Transect6,545,Hesquiat,119
15-Oct,421,Transect1,950,Hesquiat,119
15-Oct,421,Transect2,800,Hesquiat,119
15-Oct,421,Transect3,750,Hesquiat,119
15-Oct,421,Transect4,1045,Hesquiat,119
15-Oct,421,Transect5,955,Hesquiat,119
15-Oct,421,Transect6,530,Hesquiat,119
15-20,405,Transect1,925,Hesquiat,119
15-20,405,Transect2,785,Hesquiat,119
15-20,405,Transect3,734,Hesquiat,119
15-20,405,Transect4,1025,Hesquiat,119
15-20,405,Transect5,945,Hesquiat,119
15-20,405,Transect6,500,Hesquiat,119
20-30,382,Transect1,885,Hesquiat,119
20-30,382,Transect2,755,Hesquiat,119
20-30,382,Transect3,710,Hesquiat,119
20-30,382,Transect4,985,Hesquiat,119
20-30,382,Transect5,910,Hesquiat,119
20-30,382,Transect6,470,Hesquiat,119
30-40,350,Transect1,820,Hesquiat,119
30-40,350,Transect2,715,Hesquiat,119
30-40,350,Transect3,685,Hesquiat,119
30-40,350,Transect4,825,Hesquiat,119
30-40,350,Transect5,860,Hesquiat,119
30-40,350,Transect6,440,Hesquiat,119
40-50,318,Transect1,720,Hesquiat,119
40-50,318,Transect2,680,Hesquiat,119
40-50,318,Transect3,650,Hesquiat,119
40-50,318,Transect4,740,Hesquiat,119
40-50,318,Transect5,810,Hesquiat,119
40-50,318,Transect6,405,Hesquiat,119
05-Feb,93,Transect1,1160,Heydon,300
05-Feb,93,Transect2,338,Heydon,300
05-Mar,93,Transect1,1160,Heydon,300
05-Mar,93,Transect2,338,Heydon,300
10-May,88,Transect1,1100,Heydon,300
10-May,88,Transect2,320,Heydon,300
15-Oct,83,Transect1,865,Heydon,300
15-Oct,83,Transect2,303,Heydon,300
15-20,78,Transect1,485,Heydon,300
15-20,78,Transect2,271,Heydon,300
05-Feb,862,Transect1,1554,Heydon_2005,2005
05-Feb,862,Transect2,1713,Heydon_2005,2005
05-Feb,862,Transect3,1220,Heydon_2005,2005
05-Feb,862,Transect4,1352,Heydon_2005,2005
05-Feb,862,Transect5,1437,Heydon_2005,2005
05-Feb,862,Transect6,1497,Heydon_2005,2005
05-Feb,862,Transect7,1481,Heydon_2005,2005
05-Feb,862,Transect8,846,Heydon_2005,2005
05-Mar,862,Transect1,1554,Heydon_2005,2005
05-Mar,862,Transect2,1699,Heydon_2005,2005
05-Mar,862,Transect3,1220,Heydon_2005,2005
05-Mar,862,Transect4,1352,Heydon_2005,2005
05-Mar,862,Transect5,1437,Heydon_2005,2005
05-Mar,862,Transect6,1497,Heydon_2005,2005
05-Mar,862,Transect7,1481,Heydon_2005,2005
05-Mar,862,Transect8,846,Heydon_2005,2005
10-May,818,Transect1,1528,Heydon_2005,2005
10-May,818,Transect2,1699,Heydon_2005,2005
10-May,818,Transect3,1220,Heydon_2005,2005
10-May,818,Transect4,1352,Heydon_2005,2005
10-May,818,Transect5,1437,Heydon_2005,2005
10-May,818,Transect6,1497,Heydon_2005,2005
10-May,818,Transect7,1481,Heydon_2005,2005
10-May,818,Transect8,846,Heydon_2005,2005
15-Oct,772,Transect1,1511,Heydon_2005,2005
15-Oct,772,Transect2,1699,Heydon_2005,2005
15-Oct,772,Transect3,1220,Heydon_2005,2005
15-Oct,772,Transect4,1332,Heydon_2005,2005
15-Oct,772,Transect5,1417,Heydon_2005,2005
15-Oct,772,Transect6,1492,Heydon_2005,2005
15-Oct,772,Transect7,1469,Heydon_2005,2005
15-Oct,772,Transect8,802,Heydon_2005,2005
15-20,728,Transect1,1471,Heydon_2005,2005
15-20,728,Transect2,1638,Heydon_2005,2005
15-20,728,Transect3,1206,Heydon_2005,2005
15-20,728,Transect4,1303,Heydon_2005,2005
15-20,728,Transect5,1392,Heydon_2005,2005
15-20,728,Transect6,1474,Heydon_2005,2005
15-20,728,Transect7,1438,Heydon_2005,2005
15-20,728,Transect8,766,Heydon_2005,2005
20-30,677,Transect1,1438,Heydon_2005,2005
20-30,677,Transect2,1580,Heydon_2005,2005
20-30,677,Transect3,1160,Heydon_2005,2005
20-30,677,Transect4,1252,Heydon_2005,2005
20-30,677,Transect5,1343,Heydon_2005,2005
20-30,677,Transect6,1440,Heydon_2005,2005
20-30,677,Transect7,1387,Heydon_2005,2005
20-30,677,Transect8,698,Heydon_2005,2005
30-40,618,Transect1,1327,Heydon_2005,2005
30-40,618,Transect2,1402,Heydon_2005,2005
30-40,618,Transect3,1080,Heydon_2005,2005
30-40,618,Transect4,1189,Heydon_2005,2005
30-40,618,Transect5,1156,Heydon_2005,2005
30-40,618,Transect6,1384,Heydon_2005,2005
30-40,618,Transect7,1292,Heydon_2005,2005
30-40,618,Transect8,608,Heydon_2005,2005
40-50,563,Transect1,1211,Heydon_2005,2005
40-50,563,Transect2,1392,Heydon_2005,2005
40-50,563,Transect3,997,Heydon_2005,2005
40-50,563,Transect4,1114,Heydon_2005,2005
40-50,563,Transect5,1007,Heydon_2005,2005
40-50,563,Transect6,1277,Heydon_2005,2005
40-50,563,Transect7,1216,Heydon_2005,2005
40-50,563,Transect8,527,Heydon_2005,2005
05-Feb,862,Transect1,890,Heydon,50
05-Feb,862,Transect2,1120,Heydon,50
05-Feb,862,Transect3,1100,Heydon,50
05-Feb,862,Transect4,1260,Heydon,50
05-Feb,862,Transect5,1255,Heydon,50
05-Feb,862,Transect6,1160,Heydon,50
05-Feb,862,Transect7,710,Heydon,50
05-Feb,862,Transect8,338,Heydon,50
05-Mar,862,Transect1,890,Heydon,50
05-Mar,862,Transect2,1120,Heydon,50
05-Mar,862,Transect3,1100,Heydon,50
05-Mar,862,Transect4,1260,Heydon,50
05-Mar,862,Transect5,1255,Heydon,50
05-Mar,862,Transect6,1160,Heydon,50
05-Mar,862,Transect7,710,Heydon,50
05-Mar,862,Transect8,338,Heydon,50
10-May,818,Transect1,880,Heydon,50
10-May,818,Transect2,1115,Heydon,50
10-May,818,Transect3,1050,Heydon,50
10-May,818,Transect4,1245,Heydon,50
10-May,818,Transect5,1240,Heydon,50
10-May,818,Transect6,1100,Heydon,50
10-May,818,Transect7,693,Heydon,50
10-May,818,Transect8,320,Heydon,50
15-Oct,772,Transect1,855,Heydon,50
15-Oct,772,Transect2,1100,Heydon,50
15-Oct,772,Transect3,1035,Heydon,50
15-Oct,772,Transect4,1230,Heydon,50
15-Oct,772,Transect5,1235,Heydon,50
15-Oct,772,Transect6,865,Heydon,50
15-Oct,772,Transect7,670,Heydon,50
15-Oct,772,Transect8,303,Heydon,50
15-20,728,Transect1,825,Heydon,50
15-20,728,Transect2,1080,Heydon,50
15-20,728,Transect3,1005,Heydon,50
15-20,728,Transect4,1205,Heydon,50
15-20,728,Transect5,1205,Heydon,50
15-20,728,Transect6,485,Heydon,50
15-20,728,Transect7,638,Heydon,50
15-20,728,Transect8,271,Heydon,50
20-30,677,Transect1,785,Heydon,50
20-30,677,Transect2,1045,Heydon,50
20-30,677,Transect3,960,Heydon,50
20-30,677,Transect4,1180,Heydon,50
20-30,677,Transect5,1125,Heydon,50
20-30,677,Transect6,0,Heydon,50
20-30,677,Transect7,602,Heydon,50
20-30,677,Transect8,0,Heydon,50
30-40,618,Transect1,700,Heydon,50
30-40,618,Transect2,1000,Heydon,50
30-40,618,Transect3,895,Heydon,50
30-40,618,Transect4,1135,Heydon,50
30-40,618,Transect5,1070,Heydon,50
30-40,618,Transect6,0,Heydon,50
30-40,618,Transect7,550,Heydon,50
30-40,618,Transect8,0,Heydon,50
40-50,563,Transect1,630,Heydon,50
40-50,563,Transect2,910,Heydon,50
40-50,563,Transect3,830,Heydon,50
40-50,563,Transect4,1080,Heydon,50
40-50,563,Transect5,1025,Heydon,50
40-50,563,Transect6,0,Heydon,50
40-50,563,Transect7,475,Heydon,50
40-50,563,Transect8,0,Heydon,50
05-Feb,769,Transect1,890,Heydon,301
05-Feb,769,Transect2,1120,Heydon,301
05-Feb,769,Transect3,1100,Heydon,301
05-Feb,769,Transect4,1260,Heydon,301
05-Feb,769,Transect5,1255,Heydon,301
05-Feb,769,Transect6,710,Heydon,301
05-Mar,769,Transect1,890,Heydon,301
05-Mar,769,Transect2,1120,Heydon,301
05-Mar,769,Transect3,1100,Heydon,301
05-Mar,769,Transect4,1260,Heydon,301
05-Mar,769,Transect5,1255,Heydon,301
05-Mar,769,Transect6,710,Heydon,301
10-May,730,Transect1,880,Heydon,301
10-May,730,Transect2,1115,Heydon,301
10-May,730,Transect3,1050,Heydon,301
10-May,730,Transect4,1245,Heydon,301
10-May,730,Transect5,1240,Heydon,301
10-May,730,Transect6,693,Heydon,301
15-Oct,689,Transect1,855,Heydon,301
15-Oct,689,Transect2,1100,Heydon,301
15-Oct,689,Transect3,1035,Heydon,301
15-Oct,689,Transect4,1230,Heydon,301
15-Oct,689,Transect5,1235,Heydon,301
15-Oct,689,Transect6,670,Heydon,301
15-20,649,Transect1,825,Heydon,301
15-20,649,Transect2,1080,Heydon,301
15-20,649,Transect3,1005,Heydon,301
15-20,649,Transect4,1205,Heydon,301
15-20,649,Transect5,1205,Heydon,301
15-20,649,Transect6,670,Heydon,301
20-30,604,Transect1,785,Heydon,301
20-30,604,Transect2,1045,Heydon,301
20-30,604,Transect3,960,Heydon,301
20-30,604,Transect4,1180,Heydon,301
20-30,604,Transect5,1125,Heydon,301
20-30,604,Transect6,602,Heydon,301
30-40,551,Transect1,700,Heydon,301
30-40,551,Transect2,1000,Heydon,301
30-40,551,Transect3,895,Heydon,301
30-40,551,Transect4,1135,Heydon,301
30-40,551,Transect5,1070,Heydon,301
30-40,551,Transect6,550,Heydon,301
40-50,502,Transect1,630,Heydon,301
40-50,502,Transect2,910,Heydon,301
40-50,502,Transect3,830,Heydon,301
40-50,502,Transect4,1080,Heydon,301
40-50,502,Transect5,1025,Heydon,301
40-50,502,Transect6,475,Heydon,301
05-Feb,1809,Transect1,410,Ian,26
05-Feb,1809,Transect2,520,Ian,26
05-Feb,1809,Transect3,701,Ian,26
05-Feb,1809,Transect4,1101,Ian,26
05-Feb,1809,Transect5,2059,Ian,26
05-Feb,1809,Transect6,1583,Ian,26
05-Feb,1809,Transect7,766,Ian,26
05-Feb,1809,Transect8,2170,Ian,26
05-Feb,1809,Transect9,1923,Ian,26
05-Mar,1809,Transect1,410,Ian,26
05-Mar,1809,Transect2,520,Ian,26
05-Mar,1809,Transect3,701,Ian,26
05-Mar,1809,Transect4,1101,Ian,26
05-Mar,1809,Transect5,2059,Ian,26
05-Mar,1809,Transect6,1583,Ian,26
05-Mar,1809,Transect7,766,Ian,26
05-Mar,1809,Transect8,2170,Ian,26
05-Mar,1809,Transect9,1923,Ian,26
10-May,1631,Transect1,357,Ian,26
10-May,1631,Transect2,498,Ian,26
10-May,1631,Transect3,648,Ian,26
10-May,1631,Transect4,1001,Ian,26
10-May,1631,Transect5,1982,Ian,26
10-May,1631,Transect6,1399,Ian,26
10-May,1631,Transect7,652,Ian,26
10-May,1631,Transect8,2139,Ian,26
10-May,1631,Transect9,1837,Ian,26
15-Oct,1470,Transect1,300,Ian,26
15-Oct,1470,Transect2,468,Ian,26
15-Oct,1470,Transect3,607,Ian,26
15-Oct,1470,Transect4,754,Ian,26
15-Oct,1470,Transect5,1853,Ian,26
15-Oct,1470,Transect6,1272,Ian,26
15-Oct,1470,Transect7,505,Ian,26
15-Oct,1470,Transect8,1912,Ian,26
15-Oct,1470,Transect9,1806,Ian,26
15-20,1322,Transect1,237,Ian,26
15-20,1322,Transect2,447,Ian,26
15-20,1322,Transect3,553,Ian,26
15-20,1322,Transect4,691,Ian,26
15-20,1322,Transect5,1681,Ian,26
15-20,1322,Transect6,1148,Ian,26
15-20,1322,Transect7,0,Ian,26
15-20,1322,Transect8,1721,Ian,26
15-20,1322,Transect9,1766,Ian,26
20-30,1146,Transect1,119,Ian,26
20-30,1146,Transect2,407,Ian,26
20-30,1146,Transect3,409,Ian,26
20-30,1146,Transect4,580,Ian,26
20-30,1146,Transect5,1369,Ian,26
20-30,1146,Transect6,1077,Ian,26
20-30,1146,Transect7,0,Ian,26
20-30,1146,Transect8,1373.4,Ian,26
20-30,1146,Transect9,1699,Ian,26
30-40,915,Transect1,0,Ian,26
30-40,915,Transect2,350,Ian,26
30-40,915,Transect3,0,Ian,26
30-40,915,Transect4,437,Ian,26
30-40,915,Transect5,1260,Ian,26
30-40,915,Transect6,998,Ian,26
30-40,915,Transect7,0,Ian,26
30-40,915,Transect8,1307,Ian,26
30-40,915,Transect9,1615,Ian,26
40-50,710,Transect1,0,Ian,26
40-50,710,Transect2,229,Ian,26
40-50,710,Transect3,0,Ian,26
40-50,710,Transect4,319,Ian,26
40-50,710,Transect5,1100,Ian,26
40-50,710,Transect6,885,Ian,26
40-50,710,Transect7,0,Ian,26
40-50,710,Transect8,1161.5,Ian,26
40-50,710,Transect9,1639,Ian,26
50-60,578,Transect1,0,Ian,26
50-60,578,Transect2,0,Ian,26
50-60,578,Transect3,0,Ian,26
50-60,578,Transect4,250,Ian,26
50-60,578,Transect5,1013,Ian,26
50-60,578,Transect6,790,Ian,26
50-60,578,Transect7,0,Ian,26
50-60,578,Transect8,827,Ian,26
50-60,578,Transect9,1450,Ian,26
60-70,476,Transect1,0,Ian,26
60-70,476,Transect2,0,Ian,26
60-70,476,Transect3,0,Ian,26
60-70,476,Transect4,0,Ian,26
60-70,476,Transect5,0,Ian,26
60-70,476,Transect6,0,Ian,26
60-70,476,Transect7,0,Ian,26
60-70,476,Transect8,0,Ian,26
60-70,476,Transect9,0,Ian,26
05-Feb,383.7,Transect1,928,Ingram,182
05-Feb,383.7,Transect2,2619,Ingram,182
05-Feb,383.7,Transect3,635,Ingram,182
05-Feb,383.7,Transect4,603,Ingram,182
05-Feb,383.7,Transect5,888,Ingram,182
05-Feb,383.7,Transect6,779,Ingram,182
05-Mar,383.7,Transect1,928,Ingram,182
05-Mar,383.7,Transect2,2619,Ingram,182
05-Mar,383.7,Transect3,635,Ingram,182
05-Mar,383.7,Transect4,603,Ingram,182
05-Mar,383.7,Transect5,888,Ingram,182
05-Mar,383.7,Transect6,779,Ingram,182
10-May,363.1,Transect1,901,Ingram,182
10-May,363.1,Transect2,2584,Ingram,182
10-May,363.1,Transect3,621,Ingram,182
10-May,363.1,Transect4,576,Ingram,182
10-May,363.1,Transect5,867,Ingram,182
10-May,363.1,Transect6,747,Ingram,182
15-Oct,344,Transect1,885,Ingram,182
15-Oct,344,Transect2,2555,Ingram,182
15-Oct,344,Transect3,611,Ingram,182
15-Oct,344,Transect4,555,Ingram,182
15-Oct,344,Transect5,843,Ingram,182
15-Oct,344,Transect6,723,Ingram,182
15-20,323,Transect1,869,Ingram,182
15-20,323,Transect2,2528,Ingram,182
15-20,323,Transect3,600,Ingram,182
15-20,323,Transect4,539,Ingram,182
15-20,323,Transect5,805,Ingram,182
15-20,323,Transect6,696,Ingram,182
20-30,297,Transect1,859,Ingram,182
20-30,297,Transect2,2512,Ingram,182
20-30,297,Transect3,589,Ingram,182
20-30,297,Transect4,523,Ingram,182
20-30,297,Transect5,779,Ingram,182
20-30,297,Transect6,656,Ingram,182
30-40,246,Transect1,816,Ingram,182
30-40,246,Transect2,2427,Ingram,182
30-40,246,Transect3,549,Ingram,182
30-40,246,Transect4,435,Ingram,182
30-40,246,Transect5,717,Ingram,182
30-40,246,Transect6,459,Ingram,182
40-50,172,Transect1,765,Ingram,182
40-50,172,Transect2,2349,Ingram,182
40-50,172,Transect3,0,Ingram,182
40-50,172,Transect4,400,Ingram,182
40-50,172,Transect5,669,Ingram,182
40-50,172,Transect6,392,Ingram,182
50-60,56,Transect1,691,Ingram,182
50-60,56,Transect2,2251,Ingram,182
50-60,56,Transect3,0,Ingram,182
50-60,56,Transect4,0,Ingram,182
50-60,56,Transect5,0,Ingram,182
50-60,56,Transect6,288,Ingram,182
05-Feb,58,Transect1,232,JANSEN,108
05-Feb,58,Transect2,395,JANSEN,108
05-Feb,58,Transect3,455,JANSEN,108
05-Feb,58,Transect4,625,JANSEN,108
05-Feb,58,Transect5,1798,JANSEN,108
05-Mar,58,Transect1,232,JANSEN,108
05-Mar,58,Transect2,395,JANSEN,108
05-Mar,58,Transect3,455,JANSEN,108
05-Mar,58,Transect4,625,JANSEN,108
05-Mar,58,Transect5,1798,JANSEN,108
10-May,55,Transect1,207,JANSEN,108
10-May,55,Transect2,358,JANSEN,108
10-May,55,Transect3,449,JANSEN,108
10-May,55,Transect4,599,JANSEN,108
10-May,55,Transect5,1764,JANSEN,108
15-Oct,51,Transect1,177,JANSEN,108
15-Oct,51,Transect2,342,JANSEN,108
15-Oct,51,Transect3,423,JANSEN,108
15-Oct,51,Transect4,574,JANSEN,108
15-Oct,51,Transect5,1504,JANSEN,108
15-20,46,Transect1,146,JANSEN,108
15-20,46,Transect2,321,JANSEN,108
15-20,46,Transect3,403,JANSEN,108
15-20,46,Transect4,523,JANSEN,108
15-20,46,Transect5,1452,JANSEN,108
20-30,40,Transect1,110,JANSEN,108
20-30,40,Transect2,274,JANSEN,108
20-30,40,Transect3,358,JANSEN,108
20-30,40,Transect4,459,JANSEN,108
20-30,40,Transect5,1331,JANSEN,108
30-40,27,Transect1,49,JANSEN,108
30-40,27,Transect2,179,JANSEN,108
30-40,27,Transect3,293,JANSEN,108
30-40,27,Transect4,255,JANSEN,108
30-40,27,Transect5,1003,JANSEN,108
40-50,15,Transect1,0,JANSEN,108
40-50,15,Transect2,126,JANSEN,108
40-50,15,Transect3,228,JANSEN,108
40-50,15,Transect4,0,JANSEN,108
40-50,15,Transect5,804,JANSEN,108
05-Feb,128.6,Transect1,216.2,Johanson,226
05-Feb,128.6,Transect2,295.8,Johanson,226
05-Feb,128.6,Transect3,450.1,Johanson,226
05-Feb,128.6,Transect4,380.4,Johanson,226
05-Feb,128.6,Transect5,247.9,Johanson,226
05-Feb,128.6,Transect6,168.3,Johanson,226
05-Mar,128.6,Transect1,216.2,Johanson,226
05-Mar,128.6,Transect2,295.8,Johanson,226
05-Mar,128.6,Transect3,450.1,Johanson,226
05-Mar,128.6,Transect4,380.4,Johanson,226
05-Mar,128.6,Transect5,247.9,Johanson,226
05-Mar,128.6,Transect6,168.3,Johanson,226
10-May,104.8,Transect1,189.7,Johanson,226
10-May,104.8,Transect2,276.4,Johanson,226
10-May,104.8,Transect3,431.6,Johanson,226
10-May,104.8,Transect4,360,Johanson,226
10-May,104.8,Transect5,222.4,Johanson,226
10-May,104.8,Transect6,139.5,Johanson,226
15-Oct,76.6,Transect1,149.9,Johanson,226
15-Oct,76.6,Transect2,234.4,Johanson,226
15-Oct,76.6,Transect3,404,Johanson,226
15-Oct,76.6,Transect4,328.6,Johanson,226
15-Oct,76.6,Transect5,188.5,Johanson,226
15-Oct,76.6,Transect6,99.6,Johanson,226
15-20,56,Transect1,96.4,Johanson,226
15-20,56,Transect2,201,Johanson,226
15-20,56,Transect3,361.4,Johanson,226
15-20,56,Transect4,283.8,Johanson,226
15-20,56,Transect5,155,Johanson,226
15-20,56,Transect6,49.9,Johanson,226
20-30,29.8,Transect1,33,Johanson,226
20-30,29.8,Transect2,177.1,Johanson,226
20-30,29.8,Transect3,218.7,Johanson,226
20-30,29.8,Transect4,173,Johanson,226
20-30,29.8,Transect5,113.6,Johanson,226
20-30,29.8,Transect6,10.3,Johanson,226
30-40,8.4,Transect1,0,Johanson,226
30-40,8.4,Transect2,134.8,Johanson,226
30-40,8.4,Transect3,51.3,Johanson,226
30-40,8.4,Transect4,46.1,Johanson,226
30-40,8.4,Transect5,43.9,Johanson,226
30-40,8.4,Transect6,0,Johanson,226
40-50,2.5,Transect1,0,Johanson,226
40-50,2.5,Transect2,54.5,Johanson,226
40-50,2.5,Transect3,0,Johanson,226
40-50,2.5,Transect4,0,Johanson,226
40-50,2.5,Transect5,0,Johanson,226
40-50,2.5,Transect6,0,Johanson,226
05-Feb,1480,Transect1,1045,NA,10
05-Feb,1480,Transect2,2195,NA,10
05-Feb,1480,Transect3,1485,NA,10
05-Feb,1480,Transect4,965,NA,10
05-Feb,1480,Transect5,1680,NA,10
05-Feb,1480,Transect6,1610,NA,10
05-Feb,1480,Transect7,810,NA,10
05-Feb,1480,Transect8,810,NA,10
05-Feb,1480,Transect9,1610,NA,10
05-Feb,1480,Transect10,1735,NA,10
05-Feb,1480,Transect11,725,NA,10
05-Feb,1480,Transect12,1380,NA,10
05-Feb,1480,Transect13,1845,NA,10
05-Feb,1480,Transect14,1610,NA,10
05-Feb,1480,Transect15,695,NA,10
05-Feb,1480,Transect16,880,NA,10
05-Mar,1480,Transect1,1045,NA,10
05-Mar,1480,Transect2,2195,NA,10
05-Mar,1480,Transect3,1485,NA,10
05-Mar,1480,Transect4,965,NA,10
05-Mar,1480,Transect5,1680,NA,10
05-Mar,1480,Transect6,1610,NA,10
05-Mar,1480,Transect7,810,NA,10
05-Mar,1480,Transect8,810,NA,10
05-Mar,1480,Transect9,1610,NA,10
05-Mar,1480,Transect10,1735,NA,10
05-Mar,1480,Transect11,725,NA,10
05-Mar,1480,Transect12,1380,NA,10
05-Mar,1480,Transect13,1845,NA,10
05-Mar,1480,Transect14,1610,NA,10
05-Mar,1480,Transect15,695,NA,10
05-Mar,1480,Transect16,880,NA,10
10-May,1433,Transect1,1020,NA,10
10-May,1433,Transect2,2175,NA,10
10-May,1433,Transect3,1465,NA,10
10-May,1433,Transect4,950,NA,10
10-May,1433,Transect5,1650,NA,10
10-May,1433,Transect6,1580,NA,10
10-May,1433,Transect7,790,NA,10
10-May,1433,Transect8,790,NA,10
10-May,1433,Transect9,1580,NA,10
