source,ats_year,lake_code,survey_date,lake_all_target,lake_merged_data,notes_all_target,notes_merged_data,file_all_target,file_merged_data
C_In_Both_RAW_and_FINAL_data,1984,40,1984-06-25,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),SURFACE 'TARGETS' PRESENT. 11 SOCK & 28 STICK CAUGHT IN 30 MIN. OF SURFACE TRAWLING.,SURFACE 'TARGETS' PRESENT. 11 SOCK & 28 STICK CAUGHT IN 30 MIN. OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-07-02,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),"OVERCAST,CALM 9 SOCK 53 STICK CAUGHT IN 30MIN OF SURFACE TRAWLING.SURFACE 'TARGETS' PRESENT.","OVERCAST,CALM 9 SOCK 53 STICK CAUGHT IN 30MIN OF SURFACE TRAWLING.SURFACE 'TARGETS' PRESENT.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-07-10,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),SURFACE 'TARGETS' PRESENT. 5 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,SURFACE 'TARGETS' PRESENT. 5 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-07-15,"Kennedy L (Clay)    NIGHT SURVEY, SURFACE 'TARGETS' PRESENT",Kennedy Lk (Clayoquot Arm),PATCHES OF DENSE TARGETS. INTERFERENCE DUE TO IGNITION NOISE. 11 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,PATCHES OF DENSE TARGETS. INTERFERENCE DUE TO IGNITION NOISE. 11 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-07-23,"Kennedy L (Clay)    NIGHT SURVEY, SURFACE 'TARGETS' PRESENT",Kennedy Lk (Clayoquot Arm),3 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,3 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-08-01,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),SURFACE 'TARGETS'PRESENT,SURFACE 'TARGETS'PRESENT,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-08-14,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),SURFACE 'TARGETS' PRESENT 17 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,SURFACE 'TARGETS' PRESENT 17 STICK CAUGHT IN 45 MIN OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-09-26,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),"25% CLOUD COVER, WATER RIPPLED. WATER TEMP 16 C.","25% CLOUD COVER, WATER RIPPLED. WATER TEMP 16 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1984-11-17,Kennedy L (Clay)    NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),"HEAVY RAIN, CHOPPY NEW TRANSDUCER","HEAVY RAIN, CHOPPY NEW TRANSDUCER",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR","CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR","CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR","0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.",TARGET84.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M","CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M","CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 JUVENILE SURVEY,Kennedy Lk (Clayoquot Arm),"CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M","0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.",TARGET84.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.","CALM, SURFACE & AIR TEMP. = 6 DEG. C. COUNTS BELOW 20 M, AT TRANS #2, ARE MINIMUM COUNTS, counted 850205 PR",TARGET85.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.","CALM, WATER & AIR TEMP. = 6 DEG. C. COUNTED FEB. 6/85 BY PR. MINIMUM COUNTS: T6,20-30M; T3,40-50M; T4&7,60-70M",TARGET85.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-23,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.","0/100%, calm, no moon, At: 5/9.5 0c (2045/1830) Wt: 6 0c, JC 851204.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-25,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"100%, no ppt, calm, 3/4 moon, Wt: 14.5 0c, At: 4.5 0c (0000) JC 851022.","100%, no ppt, calm, 3/4 moon, Wt: 14.5 0c, At: 4.5 0c (0000) JC 851022.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-26,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"variable 0-100%, calm, no moon, no ppt, At: 6/9.5 0c (1830), Wt: 6 0c, PR 850205.","variable 0-100%, calm, no moon, no ppt, At: 6/9.5 0c (1830), Wt: 6 0c, PR 850205.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,40,1985-01-27,KCA                 Juvenile Survey,Kennedy Lk (Clayoquot Arm),"0/100%, calm, no pppt, no moon, At: 6/9.5 0c (1815 Wt: 6 0c, PR 850206,","0/100%, calm, no pppt, no moon, At: 6/9.5 0c (1815 Wt: 6 0c, PR 850206,",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,41,1984-09-28,Kennedy L (Main)    NIGHT SURVEY,Kennedy Lk (Main Arm),"WATER RIPPLED, 1/4 MOON SET 2020.","WATER RIPPLED, 1/4 MOON SET 2020.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,41,1984-11-19,Kennedy L (Main)    NIGHT SURVEY,Kennedy Lk (Main Arm),"SHOWERS, 100% OVERCAST, CALM WATER TEMP 8.5 C.","SHOWERS, 100% OVERCAST, CALM WATER TEMP 8.5 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,44,1984-06-27,Muriel Lk           NIGHT SURVEY,Muriel Lk,SURFACE 'TARGETS' PRESENT. 1 STICK & 1 LAMPREY CAUGHT IN 45 MIN OF SURFACE TRAWLING.,SURFACE 'TARGETS' PRESENT. 1 STICK & 1 LAMPREY CAUGHT IN 45 MIN OF SURFACE TRAWLING.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,44,1984-11-20,Muriel Lk           NIGHT SURVEY,Muriel Lk,"CLEAR, CALM SURFACE TEMP 8 C. SPECIES BREAKDOWN IS AN AGGREGATE OF ALL TRAWLS DUE TO POOR TRAWL CATCH.","CLEAR, CALM SURFACE TEMP 8 C. SPECIES BREAKDOWN IS AN AGGREGATE OF ALL TRAWLS DUE TO POOR TRAWL CATCH.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,45,1984-10-25,Muchalat Lk         NIGHT SURVEY,Muchalat Lk,"100% OVERCAST, RAIN ,WATER RIPPLED","100% OVERCAST, RAIN ,WATER RIPPLED",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,50,1984-11-04,Heydon Lk           NIGHT SURVEY,Heydon Lk,"70 % OVERCAST, 3/4 MOON SURFACE TEMP ?","70 % OVERCAST, 3/4 MOON SURFACE TEMP ?",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,55,1984-09-04,Mathers Lk          NIGHT SURVEY,Mathers Lk,"10 % OVERCAST, 3/4 MOON. SURFACE TEMP 14.5 C. NO FISH CAUGHT IN SURFACE TRAWL. SURFACE 'TARGETS' PRESENT.","10 % OVERCAST, 3/4 MOON. SURFACE TEMP 14.5 C. NO FISH CAUGHT IN SURFACE TRAWL. SURFACE 'TARGETS' PRESENT.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,59,1984-11-05,Phillips Lk         NIGHT SURVEY,Phillips Lk,"100 % OVERCAST, WATER RIPPLED. SURFACE TEMP 7 C.","100 % OVERCAST, WATER RIPPLED. SURFACE TEMP 7 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,69,1984-09-09,Yakoun Lk           NIGHT SURVEY,Yakoun Lk,SURFACE 'TARGETS' PRESENT,SURFACE 'TARGETS' PRESENT,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,107,1984-08-15,Cheewhat Lk         NIGHT SURVEY,Cheewhat Lk,NO FISH ON SURFACE,NO FISH ON SURFACE,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,107,1984-08-16,Cheewhat Lk         ADULT ESTIMATE,Cheewhat Lk,ADULT SURVEY @ G4,ADULT SURVEY @ G4,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,107,1985-03-14,Cheewhat Lk         Juvenile Survey,Cheewhat Lk,"0%, no ppt, calm, At: 5 0c (1939), Wt: 7.5 0c, PR 850319,","0%, no ppt, calm, At: 5 0c (1939), Wt: 7.5 0c, PR 850319,",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1984,108,1984-08-19,Jansen Lk           NIGHT SURVEY,Jansen Lk,SURFACE 'TARGETS' PRESENT. 2 STICK CAUGHT IN SURFACE TRAWL.,SURFACE 'TARGETS' PRESENT. 2 STICK CAUGHT IN SURFACE TRAWL.,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,118,1984-10-26,Megin Lk            NIGHT SURVEY,Megin Lk,"CLEAR, CALM SURFACE TEMP 9 C.","CLEAR, CALM SURFACE TEMP 9 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,119,1984-10-27,Hesquiat Lk         NIGHT SURVEY,Hesquiat Lk,"90 % OVERCAST, CALM. SURFACE TEMP 9 C.","90 % OVERCAST, CALM. SURFACE TEMP 9 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,120,1984-11-03,Glendale Lk         NIGHT SURVEY,Glendale Lk,"100 % OVERCAST, SHOWERS,CALM SURFACE TEMP 8 C.","100 % OVERCAST, SHOWERS,CALM SURFACE TEMP 8 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,121,1984-11-15,Nahwitti Lk         NIGHT SURVEY,Nahwitti Lk,"HIGH OVERCAST, CALM SURFACE TEMP 7 C.","HIGH OVERCAST, CALM SURFACE TEMP 7 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,122,1984-11-13,Quatse Lk           NIGHT SURVEY,Quatse Lk,"0 % UNTILL 2100 THEN 40 % OVERCAST, CALM SURFACE TEMP 7 C.","0 % UNTILL 2100 THEN 40 % OVERCAST, CALM SURFACE TEMP 7 C.",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,801,1984-09-13,Long Lk (A)         NIGHT SURVEY,Long Lk (A),SURFACE 'TARGETS' PRESENT,SURFACE 'TARGETS' PRESENT,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,801,1984-11-10,Long Lk (A)         night survey,Long Lk (A),"clear, 3/4 moon up at 2000, calm water temp 7.5 C","clear, 3/4 moon up at 2000, calm water temp 7.5 C",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,802,1984-09-14,Long Lk (B)         NIGHT SURVEY,Long Lk (B),SURFACE 'TARGETS' PRESENT,SURFACE 'TARGETS' PRESENT,TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1984,802,1984-11-11,Long Lk (B)         night survey,Long Lk (B),"10% cloud cover, 3/4 moon, calm","10% cloud cover, 3/4 moon, calm",TARGET84.DAT,TARGET84.DAT
C_In_Both_RAW_and_FINAL_data,1985,1,1985-12-10,GCL                 Juvenile Survey,Great Central Lk,"100%, no ppt, no moon, At: 2 0c (2200), Wt: 5 0c, JC 860113.","100%, no ppt, no moon, At: 2 0c (2200), Wt: 5 0c, JC 860113.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,1,1985-12-11,GCL                 Juvenile Survey,Great Central Lk,"100%, foggy, no ppt, no moon, At: 2 0c (2200) Wt: 5 0c, cabin heated 10-18 0c for furuno JC 860111.","100%, foggy, no ppt, no moon, At: 2 0c (2200) Wt: 5 0c, cabin heated 10-18 0c for furuno JC 860111.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,2,1985-09-26,Sproat Lk           Juvenile survey,Sproat Lk,"clear, calm->rippled,full moon rising @20:00. simultaneous survey with furuno, PR counter.","clear, calm->rippled,full moon rising @20:00. simultaneous survey with furuno, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,2,1985-09-27,Sproat Lk           Juvenile survey,Sproat Lk,"clear, full moon rising @20:00. FM-22 #7713, PR counter.","clear, full moon rising @20:00. FM-22 #7713, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,3,1985-08-17,Henderson Lk        Juvenile survey,Henderson Lk,"clear -> 100% fog by 0300, moderate wind, no moon. AT 17, ST 19 deg C. Min counts Trans 1,2,3; strata 10 to 30 m incl, PR counter.","clear -> 100% fog by 0300, moderate wind, no moon. AT 17, ST 19 deg C. Min counts Trans 1,2,3; strata 10 to 30 m incl, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,3,1985-08-18,Henderson Lk        Juvenile survey,Henderson Lk,"0->100% fog by 0300, moderate wind, no moon; At: 17 0c, Furuno #7713, PR counter.","0->100% fog by 0300, moderate wind, no moon; At: 17 0c, Furuno #7713, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-05-30,Hobiton Lk          Juvenile Survey,Hobiton Lk,"Clear,calm,3/4 moon Surfc Temp 16 deg C, PR counter.","Clear,calm,3/4 moon Surfc Temp 16 deg C, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-06-04,Hobiton Lk          Juvenile Survey,Hobiton Lk,"calm, 80% cloud, fullmoon behind cloud, Wt: 16 0c.","calm, 80% cloud, fullmoon behind cloud, Wt: 16 0c.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-06-10,Hobiton Lk          Juvenile night survey,Hobiton Lk,"10-100% cloud, calm -> rippled, no moon, surfc. temp. : 17 deg C, PR counter.","10-100% cloud, calm -> rippled, no moon, surfc. temp. : 17 deg C, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-06-24,Hobiton Lk          Juvenile survey,Hobiton Lk,"0%, no ppt, calm, At: 14/13 0c, (2330/2150) Wt: 17 0c, PR counter.","0%, no ppt, calm, At: 14/13 0c, (2330/2150) Wt: 17 0c, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-07-03,Hobiton Lk          Juvenile survey,Hobiton Lk,"0%, calm, no ppt, 3/4 moon up @0300, At: 14 0c (2317), Wt: 17.5 0c, PR counter","0%, calm, no ppt, 3/4 moon up @0300, At: 14 0c (2317), Wt: 17.5 0c, PR counter",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-07-09,Hobiton Lk          Juvenile survey,Hobiton Lk,"0->75% cloud,calm,1/2moon behind cloud, at: 16(235 counts calc. frm fm22#26831 counts, trans 1&6, depths 5-15 m, PR counter.","0->75% cloud,calm,1/2moon behind cloud, at: 16(235 counts calc. frm fm22#26831 counts, trans 1&6, depths 5-15 m, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-07-30,Hobiton Lk          Juvenile survey,Hobiton Lk,"overcast,breeze; AT @0000hr 17 deg C, ST 21 deg C count at trans 3, 10-15 m strata minimum, PR counter.","overcast,breeze; AT @0000hr 17 deg C, ST 21 deg C count at trans 3, 10-15 m strata minimum, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-07-31,Hobiton Lk          Juvenile survey,Hobiton Lk,"100%, breeze, drizzle, moon present but obs. AT: 17 0c (0000), Wt: 21 0c FM-22, #7713, PR counter.","100%, breeze, drizzle, moon present but obs. AT: 17 0c (0000), Wt: 21 0c FM-22, #7713, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-08-18,Hobiton Lk          Juvenile Survey,Hobiton Lk,"90% sea fog,light wind,no moon;AT 18, ST 20 deg C. minimum counts: Trans 4, 5-10 m strata, PR counter.","90% sea fog,light wind,no moon;AT 18, ST 20 deg C. minimum counts: Trans 4, 5-10 m strata, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-08-19,Hobiton Lk          Juvenile Survey,Hobiton Lk,"90% sea fog,light wind,no moon;AT 18, ST 20 deg C,","90% sea fog,light wind,no moon;AT 18, ST 20 deg C,",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-09-19,Hobiton Lk          Juvenile survey,Hobiton Lk,"50->100% cloud by 01:00, light to moderate wind. 1st 1/4 moon, rise 20:00, set 22:00, At: 11 0c, Wt: 17 0c, PR counter.","50->100% cloud by 01:00, light to moderate wind. 1st 1/4 moon, rise 20:00, set 22:00, At: 11 0c, Wt: 17 0c, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-09-20,Hobiton Lk          Juvenile survey,Hobiton Lk,"50-100%, light-mod winds, no ppt. 1/4 moon 2000-2200, At: 11 0c, Wt: 17 0c, PR counter.","50-100%, light-mod winds, no ppt. 1/4 moon 2000-2200, At: 11 0c, Wt: 17 0c, PR counter.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-11-27,Hobiton Lk,Hobiton Lk,"cloud cover 30-10%, strong breeze, full moon 1700- 0300, At: -4 0c, Wt: 6 0c, JC 851209","cloud cover 30-10%, strong breeze, full moon 1700- 0300, At: -4 0c, Wt: 6 0c, JC 851209",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1985-11-28,Hobiton Lk,Hobiton Lk,"10-30%, strong winds, full moon before sunset-0300 At: -4 0c (2330), Wt:6 0c, JC 860207, Juvenile, lateral drifting.","10-30%, strong winds, full moon before sunset-0300 At: -4 0c (2330), Wt:6 0c, JC 860207, Juvenile, lateral drifting.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-01-23,Hobiton Lk          Juvenile Survey,Hobiton Lk,"20-60%, breeze, ppt nil, moon full rise 1800 throu At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Juvenile.","20-60%, breeze, ppt nil, moon full rise 1800 throu At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Juvenile.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-01-24,Hobiton Lk          Adult Survey,Hobiton Lk,"20-60%, light breeze,no ppt, full moon by 1800, At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Adult @ gain 4, many v. faint targets aswell.","20-60%, light breeze,no ppt, full moon by 1800, At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Adult @ gain 4, many v. faint targets aswell.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-01-25,Hobiton Lk         Juvenile Survey,Hobiton Lk,"20-60%, breeze, no ppt, full moon, rise @ l800 At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Juvenile.","20-60%, breeze, no ppt, full moon, rise @ l800 At: 5.0 0c (0000), Wt: 5.5 0c, JC 860203, Juvenile.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-03-20,Hobiton Lk          Juvenile Survey,Hobiton Lk,"100%, strong winds, heavy rain, 1/2 moon obscured At: 9.0 0c, (2330), Wt: 6.0 0c, JC 860324, Juvenile.","100%, strong winds, heavy rain, 1/2 moon obscured At: 9.0 0c, (2330), Wt: 6.0 0c, JC 860324, Juvenile.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-03-21,Hobiton Lk          Adult Survey,Hobiton Lk,"100%, strong winds, rain, 1/2 moon obscured At: 9.0 0c (2330), Wt: 6.0 0c, JC 860324, Adult.","100%, strong winds, rain, 1/2 moon obscured At: 9.0 0c (2330), Wt: 6.0 0c, JC 860324, Adult.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,6,1986-03-22,Hobiton Lk          Juvenile Survey,Hobiton Lk,"100%, heavy rain, strong winds, 1/2 moon obscured At: 9.0 0c, (2330), Wt: 6.0 0c, JC 860324, Juvenile.","100%, heavy rain, strong winds, 1/2 moon obscured At: 9.0 0c, (2330), Wt: 6.0 0c, JC 860324, Juvenile.",TARGET86.DAT,TARGET86.DAT
C_In_Both_RAW_and_FINAL_data,1985,20,1985-09-07,Lowe Lk             Juvenile Survey,Lowe Lk,"0%, calm, 1/2 moon by0120, At: 11 0c (0000) Wt: 15 0c, JC 851221.","0%, calm, 1/2 moon by0120, At: 11 0c (0000) Wt: 15 0c, JC 851221.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,21,1985-08-26,Nimpkish Lk         Juvenile Survey,Nimpkish Lk,"10%, wind very strong@ head of lake, 3/4 moon before sunset-0200, At: 13 0c, (2350), Wt: 16 0c, JC 860107, poor target resolution head of lake","10%, wind very strong@ head of lake, 3/4 moon before sunset-0200, At: 13 0c, (2350), Wt: 16 0c, JC 860107, poor target resolution head of lake",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,21,1985-11-10,Nimpkish Lk         Juvenile Survey,Nimpkish Lk,"0%, winds strong headof lake, no moon, Two nites At: -1/3 0c, Wt: 9/9 0c, JC 860107, some targ overlap, many targs below trawl depth","0%, winds strong headof lake, no moon, Two nites At: -1/3 0c, Wt: 9/9 0c, JC 860107, some targ overlap, many targs below trawl depth",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,21,1985-11-11,Nimpkish Lk         Juvenile Survey,Nimpkish Lk,"0%, winds strong headof lake, no, moon two nites, At: -1/3 0c, Wt: 9/9 0c, JC 860110, extreme temp depend targ loss","0%, winds strong headof lake, no, moon two nites, At: -1/3 0c, Wt: 9/9 0c, JC 860110, extreme temp depend targ loss",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,22,1985-11-09,Woss Lk             Juvenile Survey,Woss Lk,"0%, calm, no moon, At: -1 0c(2330), Wt: 10 0c JC 860103, heavy targ overlap, few adult targets","0%, calm, no moon, At: -1 0c(2330), Wt: 10 0c JC 860103, heavy targ overlap, few adult targets",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,22,1985-11-10,Woss Lk             Juvenile Survey,Woss Lk,"0%, calm, no moon, At: -1 0c(2330), St: 10 0c JC 860102, temp dependent target loss above 15 m","0%, calm, no moon, At: -1 0c(2330), St: 10 0c JC 860102, temp dependent target loss above 15 m",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,25,1985-08-30,Eden Lk             Juvenile Survey,Eden Lk,"90-100%, light rain, moon full-obscured, At: 15 0c, Wt: 16 0c,JC 851216.","90-100%, light rain, moon full-obscured, At: 15 0c, Wt: 16 0c,JC 851216.",TARGET85.DAT,TARGET85.DAT
C_In_Both_RAW_and_FINAL_data,1985,26,1985-08-31,Ian Lk              Juvenile survey,Ian Lk,"20-70%, calm-light, moon rise 2000, full At: 13.5 0c (0000), Wt: 15 0c, JC 851231 Juvenile, Adult targets=2yrs?","20-70%, calm-light, moon rise 2000, full At: 13.5 0c (0000), Wt: 15 0c, JC 851231 Juvenile, Adult targets=2yrs?",TARGET85.DAT,TARGET85.DAT
