"ats_year","lake_code","lake_name","survey_date_trawl","interval_start","interval_end","survey_date_acoustic","source_file","match_status_acoustic","overlap_status_acoustic","count_acoustic_survey","data_note"
"1984","40","Kennedy_Lake_(Clay)",1984-07-03,"1984-06-26","1984-07-10",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-04,"1984-06-27","1984-07-11",1984-07-02,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",7,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-04,"1984-06-27","1984-07-11",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-05,"1984-06-28","1984-07-12",1984-07-02,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",7,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-05,"1984-06-28","1984-07-12",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-11,"1984-07-04","1984-07-18",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-11,"1984-07-04","1984-07-18",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-12,"1984-07-05","1984-07-19",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-12,"1984-07-05","1984-07-19",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-13,"1984-07-06","1984-07-20",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-13,"1984-07-06","1984-07-20",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-16,"1984-07-09","1984-07-23",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-16,"1984-07-09","1984-07-23",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-16,"1984-07-09","1984-07-23",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-17,"1984-07-10","1984-07-24",1984-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",8,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-17,"1984-07-10","1984-07-24",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-17,"1984-07-10","1984-07-24",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-18,"1984-07-11","1984-07-25",1984-07-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-18,"1984-07-11","1984-07-25",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-24,"1984-07-17","1984-07-31",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-25,"1984-07-18","1984-08-01",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-25,"1984-07-18","1984-08-01",1984-08-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-26,"1984-07-19","1984-08-02",1984-07-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",6,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-07-26,"1984-07-19","1984-08-02",1984-08-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-08-02,"1984-07-26","1984-08-09",1984-08-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-08-03,"1984-07-27","1984-08-10",1984-08-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-08-15,"1984-08-08","1984-08-22",1984-08-14,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-08-16,"1984-08-09","1984-08-23",1984-08-14,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-09-27,"1984-09-20","1984-10-04",1984-09-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-09-28,"1984-09-21","1984-10-05",1984-09-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-11-17,"1984-11-10","1984-11-24",1984-11-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1984-11-18,"1984-11-11","1984-11-25",1984-11-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-23,"1985-01-16","1985-01-30",1985-01-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-23,"1985-01-16","1985-01-30",1985-01-25,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-23,"1985-01-16","1985-01-30",1985-01-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-23,"1985-01-16","1985-01-30",1985-01-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-24,"1985-01-17","1985-01-31",1985-01-23,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-24,"1985-01-17","1985-01-31",1985-01-25,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-24,"1985-01-17","1985-01-31",1985-01-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","40","Kennedy_Lake_(Clay)",1985-01-24,"1985-01-17","1985-01-31",1985-01-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","41","Kennedy_Lake_(Main)",NA,NA,NA,1984-09-28,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","41","Kennedy_Lake_(Main)",NA,NA,NA,1984-11-19,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","8","Long_Lake",1984-09-14,"1984-09-07","1984-09-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","8","Long_Lake",1984-09-15,"1984-09-08","1984-09-22",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","8","Long_Lake",1984-11-10,"1984-11-03","1984-11-17",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","8","Long_Lake",1984-11-11,"1984-11-04","1984-11-18",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","8","Long_Lake",1984-11-12,"1984-11-05","1984-11-19",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","801","Long_Lake_(A)",NA,NA,NA,1984-09-13,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","801","Long_Lake_(A)",NA,NA,NA,1984-11-10,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","802","Long_Lake_(B)",NA,NA,NA,1984-09-14,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","802","Long_Lake_(B)",NA,NA,NA,1984-11-11,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1984","20","Lowe_Lake",1984-08-31,"1984-08-24","1984-09-07",1984-08-31,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","55","Mathers_Lake",1984-09-04,"1984-08-28","1984-09-11",1984-09-04,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","55","Mathers_Lake",1984-09-05,"1984-08-29","1984-09-12",1984-09-04,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","118","Megin_Lake",1984-07-26,"1984-07-19","1984-08-02",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1984","118","Megin_Lake",1984-10-26,"1984-10-19","1984-11-02",1984-10-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","118","Megin_Lake",1984-10-27,"1984-10-20","1984-11-03",1984-10-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","32","Mercer_Lake",1984-09-05,"1984-08-29","1984-09-12",1984-09-05,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","32","Mercer_Lake",1984-09-06,"1984-08-30","1984-09-13",1984-09-05,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","45","Muchalat_Lake",1984-10-25,"1984-10-18","1984-11-01",1984-10-25,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","45","Muchalat_Lake",1984-10-26,"1984-10-19","1984-11-02",1984-10-25,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","44","Muriel_Lake",1984-06-28,"1984-06-21","1984-07-05",1984-06-27,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","44","Muriel_Lake",1984-11-20,"1984-11-13","1984-11-27",1984-11-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","121","Nahwitti_Lake",1984-11-15,"1984-11-08","1984-11-22",1984-11-15,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","21","Nimpkish_Lake",1984-08-22,"1984-08-15","1984-08-29",1984-08-22,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","21","Nimpkish_Lake",1984-08-23,"1984-08-16","1984-08-30",1984-08-22,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","21","Nimpkish_Lake",1984-11-08,"1984-11-01","1984-11-15",1984-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","21","Nimpkish_Lake",1984-11-09,"1984-11-02","1984-11-16",1984-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","59","Phillips_Lake",1984-11-06,"1984-10-30","1984-11-13",1984-11-05,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","122","Quatse_Lake",1984-11-13,"1984-11-06","1984-11-20",1984-11-13,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","2","Sproat_Lake",1984-10-01,"1984-09-24","1984-10-08",1984-10-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","2","Sproat_Lake",1984-10-02,"1984-09-25","1984-10-09",1984-10-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","22","Woss_Lake",1984-08-21,"1984-08-14","1984-08-28",1984-08-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","22","Woss_Lake",1984-08-22,"1984-08-15","1984-08-29",1984-08-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","22","Woss_Lake",1984-11-07,"1984-10-31","1984-11-14",1984-11-07,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1984","69","Yakoun_Lake",1984-09-10,"1984-09-03","1984-09-17",1984-09-09,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1984","69","Yakoun_Lake",1984-09-11,"1984-09-04","1984-09-18",1984-09-09,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","27","Awun_Lake",1985-08-30,"1985-08-23","1985-09-06",1985-08-29,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","107","Cheewhat_Lake",1985-08-21,"1985-08-14","1985-08-28",1985-08-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","107","Cheewhat_Lake",1986-03-19,"1986-03-12","1986-03-26",1986-03-19,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","107","Cheewhat_Lake",1986-03-20,"1986-03-13","1986-03-27",1986-03-19,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","29","Devon_Lake",1985-09-08,"1985-09-01","1985-09-15",1985-09-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","29","Devon_Lake",1985-09-09,"1985-09-02","1985-09-16",1985-09-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","25","Eden_Lake",1985-08-30,"1985-08-23","1985-09-06",1985-08-30,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","25","Eden_Lake",1985-08-31,"1985-08-24","1985-09-07",1985-08-30,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","120","Glendale_Lake",1985-10-16,"1985-10-09","1985-10-23",1985-10-16,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","1","Great_Central_Lake",1985-12-10,"1985-12-03","1985-12-17",1985-12-10,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","1","Great_Central_Lake",1985-12-10,"1985-12-03","1985-12-17",1985-12-11,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","3","Henderson_Lake",1985-08-17,"1985-08-10","1985-08-24",1985-08-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","3","Henderson_Lake",1985-08-17,"1985-08-10","1985-08-24",1985-08-18,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","3","Henderson_Lake",1985-08-18,"1985-08-11","1985-08-25",1985-08-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","3","Henderson_Lake",1985-08-18,"1985-08-11","1985-08-25",1985-08-18,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","50","Heydon_Lake",1985-09-16,"1985-09-09","1985-09-23",1985-09-15,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-05-31,"1985-05-24","1985-06-07",1985-05-30,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-05-31,"1985-05-24","1985-06-07",1985-06-04,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-06-12,"1985-06-05","1985-06-19",1985-06-10,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-06-25,"1985-06-18","1985-07-02",1985-06-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-06-26,"1985-06-19","1985-07-03",1985-06-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-06-26,"1985-06-19","1985-07-03",1985-07-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-04,"1985-06-27","1985-07-11",1985-07-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-04,"1985-06-27","1985-07-11",1985-07-09,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-10,"1985-07-03","1985-07-17",1985-07-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-10,"1985-07-03","1985-07-17",1985-07-09,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-31,"1985-07-24","1985-08-07",1985-07-30,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-07-31,"1985-07-24","1985-08-07",1985-07-31,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-08-19,"1985-08-12","1985-08-26",1985-08-18,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-08-19,"1985-08-12","1985-08-26",1985-08-19,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-09-20,"1985-09-13","1985-09-27",1985-09-19,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-09-20,"1985-09-13","1985-09-27",1985-09-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-11-28,"1985-11-21","1985-12-05",1985-11-27,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1985-11-28,"1985-11-21","1985-12-05",1985-11-28,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1986-01-24,"1986-01-17","1986-01-31",1986-01-23,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1986-01-24,"1986-01-17","1986-01-31",1986-01-24,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",1986-01-24,"1986-01-17","1986-01-31",1986-01-25,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","6","Hobiton_Lake",NA,NA,NA,1986-03-20,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1985","6","Hobiton_Lake",NA,NA,NA,1986-03-21,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1985","6","Hobiton_Lake",NA,NA,NA,1986-03-22,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1985","26","Ian_Lake",1985-09-01,"1985-08-25","1985-09-08",1985-08-31,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","108","Jansen_Lake",1985-08-25,"1985-08-18","1985-09-01",1985-08-24,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","108","Jansen_Lake",1985-11-08,"1985-11-01","1985-11-15",1985-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","108","Jansen_Lake",1985-11-09,"1985-11-02","1985-11-16",1985-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","108","Jansen_Lake",1986-02-12,"1986-02-05","1986-02-19",1986-02-12,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","108","Jansen_Lake",1986-02-12,"1986-02-05","1986-02-19",1986-02-13,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-02,"1985-03-26","1985-04-09",1985-04-02,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-02,"1985-03-26","1985-04-09",1985-04-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-03,"1985-03-27","1985-04-10",1985-04-02,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-03,"1985-03-27","1985-04-10",1985-04-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-04,"1985-03-28","1985-04-11",1985-04-02,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-04-04,"1985-03-28","1985-04-11",1985-04-03,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-01,"1985-05-25","1985-06-08",1985-05-31,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-01,"1985-05-25","1985-06-08",1985-06-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-02,"1985-05-26","1985-06-09",1985-05-31,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-02,"1985-05-26","1985-06-09",1985-06-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-03,"1985-05-27","1985-06-10",1985-05-31,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-03,"1985-05-27","1985-06-10",1985-06-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-29,"1985-06-22","1985-07-06",1985-06-28,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-29,"1985-06-22","1985-07-06",1985-06-29,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-29,"1985-06-22","1985-07-06",1985-06-30,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-29,"1985-06-22","1985-07-06",1985-07-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-30,"1985-06-23","1985-07-07",1985-06-28,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-30,"1985-06-23","1985-07-07",1985-06-29,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-30,"1985-06-23","1985-07-07",1985-06-30,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-06-30,"1985-06-23","1985-07-07",1985-07-01,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-11,"1985-07-04","1985-07-18",1985-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-11,"1985-07-04","1985-07-18",1985-07-11,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-11,"1985-07-04","1985-07-18",1985-07-12,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-11,"1985-07-04","1985-07-18",1985-07-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-12,"1985-07-05","1985-07-19",1985-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-12,"1985-07-05","1985-07-19",1985-07-11,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-12,"1985-07-05","1985-07-19",1985-07-12,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-07-12,"1985-07-05","1985-07-19",1985-07-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-08-14,"1985-08-07","1985-08-21",1985-08-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
"1985","40","Kennedy_Lake_(Clay)",1985-08-14,"1985-08-07","1985-08-21",1985-08-14,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",3,"Trawl data rescued"
